country,ISO2,ISO,slug,start_date,end_date,lable_end_date,active,new_cases_feature,new_cases_label,stringency_actual,population,gdp_per_capita,population_density,Urban_population,UHC_service_coverage_index,basic_sanitation_services,Population_ages_0_to_14,Population_ages_15_to_64,Population_ages_65_and_over
Fiji,FJ,FJI,fiji,2020-09-03,2020-09-23,2020-10-13,2,3,3,48.15,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-09-23,2020-10-13,2020-11-02,0,0,2,45.37,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-02-01,2020-02-21,2020-03-12,0,0,0,19.44,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-02-21,2020-03-12,2020-04-01,0,0,5,19.44,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-03-12,2020-04-01,2020-04-21,5,5,18,88.89,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-04-01,2020-04-21,2020-05-11,15,13,13,88.89,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-04-21,2020-05-11,2020-05-31,4,0,0,88.89,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-05-11,2020-05-31,2020-06-20,3,0,0,78.7,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-05-31,2020-06-20,2020-07-10,0,0,8,78.7,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-06-20,2020-07-10,2020-07-30,8,8,9,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-07-10,2020-07-30,2020-08-19,9,1,2,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-07-30,2020-08-19,2020-09-08,7,1,4,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-08-19,2020-09-08,2020-09-28,5,3,4,48.15,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-09-08,2020-09-28,2020-10-18,2,1,1,48.15,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-09-28,2020-10-18,2020-11-07,0,0,2,45.37,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-02-06,2020-02-26,2020-03-17,0,0,0,19.44,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-02-26,2020-03-17,2020-04-06,0,0,14,30.56,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-03-17,2020-04-06,2020-04-26,14,14,18,88.89,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-04-06,2020-04-26,2020-05-16,6,4,4,88.89,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-04-26,2020-05-16,2020-06-05,3,0,0,78.7,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
